             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          50081826    ampere prompi-c dirac-sv PD       0:00      1 (AssocGrpGRESMinutes)
          51988816    ampere     bash  arsbta2 PD       0:00      1 (AssocGrpGRESMinutes)
          51988822    ampere     bash  arsbta2 PD       0:00      1 (AssocGrpGRESMinutes)
          52164525    ampere     bash  arsbta2 PD       0:00      1 (AssocGrpGRESMinutes)
          52164484    ampere     bash  arsbta2 PD       0:00      1 (AssocGrpGRESMinutes)
          51634426    ampere mcl66-te    mcl66 PD       0:00      1 (AssocGrpGRESMinutes)
          50245303    ampere sys/dash    taj30 PD       0:00      1 (AssocGrpGRESMinutes)
          49273401    ampere U50_N14_ dc-barb2 PD       0:00      1 (AssocGrpGRESMinutes)
          49273400    ampere U50_N14L dc-barb2 PD       0:00      1 (AssocGrpGRESMinutes)
          49273299    ampere U50_N12L dc-barb2 PD       0:00      1 (AssocGrpGRESMinutes)
          50003799    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003800    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003801    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003802    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003803    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003804    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003805    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003806    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003807    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003808    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003809    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003810    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003811    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003812    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003813    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003814    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003815    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003816    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003817    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003818    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003819    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003820    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003821    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003822    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003823    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003824    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003825    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003826    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003827    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003828    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003829    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003830    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003831    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003832    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003833    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003834    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003835    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003836    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003837    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003838    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003839    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003840    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003841    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003842    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003843    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003844    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003845    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003846    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003847    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003848    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003849    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003850    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003851    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003852    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003853    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003854    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003855    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003856    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003857    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003858    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003859    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003860    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003861    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003862    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003863    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003864    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003865    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003866    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003867    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003868    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003869    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003870    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003871    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003872    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003873    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003874    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003875    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003876    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003877    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003878    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003879    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003880    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003881    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003882    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003883    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003884    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003885    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003886    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003887    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003888    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003889    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003890    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003891    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003892    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003893    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003894    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003895    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003896    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003897    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003898    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
51408958_[16-30%1]    ampere       r3   sr2089 PD       0:00      1 (AssocGrpGRESMinutes)
51408959_[8,15-30]    ampere       r4   sr2089 PD       0:00      1 (AssocGrpGRESMinutes)
50704475_[24-30%1]    ampere       r2   sr2089 PD       0:00      1 (AssocGrpGRESMinutes)
          50003931    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003930    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003929    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003928    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003927    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003926    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003925    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003924    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003923    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003922    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003921    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003920    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003919    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003918    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003917    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003916    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003915    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003914    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003913    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003912    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003911    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003910    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003909    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003908    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003907    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003906    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003905    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003904    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003903    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003902    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003901    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003900    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          50003899    ampere Model_ML    scv26 PD       0:00      4 (AssocGrpGRESMinutes)
          53039868    ampere   gpujob    og313 PD       0:00      1 (QOSGrpCPURunMinutesLimit)
          55532649    ampere  ProTUSO    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55533026    ampere E2EUNETv    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55533027    ampere E2EUNETv    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55533375    ampere TUNETLar    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55534537    ampere TUNETLar    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55710943    ampere  ProTUSO    xd260 PD       0:00      1 (AssocGrpGRESMinutes)
          55972440    ampere 8x17-20_ hpcspen1 PD       0:00      3 (AssocGrpGRESMinutes)
56315302_[146-218]    ampere     c20w    dw504 PD       0:00      1 (Priority)
          56327679    ampere ST1_datu    rh725 PD       0:00      1 (Priority)
          56329954    ampere _interac    art58 PD       0:00      1 (Priority)
          56329956    ampere _interac    art58 PD       0:00      1 (Priority)
          56334521    ampere _interac    art58 PD       0:00      1 (Priority)
          56334522    ampere _interac    art58 PD       0:00      1 (Priority)
          56339885    ampere ST1_datu    rh725 PD       0:00      1 (Priority)
          56340037    ampere ST1_datu    rh725 PD       0:00      1 (Priority)
          56267064    ampere dash_4_d co-paul2 PD       0:00      1 (Priority)
          56351819    ampere TRAIN_CH    wa285 PD       0:00      1 (Priority)
          56354825    ampere VLMPretr    jq271 PD       0:00      1 (Priority)
          56356793    ampere     c20w    dw504 PD       0:00      1 (QOSMaxGRESPerUser)
          56358456    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56360038    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56360035    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56360037    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56360033    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56360034    ampere   gpujob   jml224 PD       0:00      1 (Priority)
          56267258    ampere dash_4_d co-paul2 PD       0:00      1 (Priority)
          56367611    ampere   gpujob hpcevan2 PD       0:00      2 (Priority)
          56267086    ampere dash_6_d co-paul2 PD       0:00      1 (Priority)
          56368755    ampere _interac    lw660 PD       0:00      1 (Priority)
          56369219    ampere   gpujob hpcevan2 PD       0:00      1 (Priority)
          56372301    ampere _interac    lw660 PD       0:00      1 (Priority)
          56373364    ampere   gpujob    pfrg2 PD       0:00      1 (Priority)
          56373040    ampere     bash    bq216 PD       0:00      1 (Priority)
          56371982    ampere langwm_d    nc630 PD       0:00      1 (Priority)
          56372290    ampere ESM_ADAB    lw660 PD       0:00      1 (Priority)
          56372299    ampere   gpujob    ec765 PD       0:00      1 (Priority)
          56373036    ampere   gpujob   sjw269 PD       0:00      1 (Priority)
          56371943    ampere langwm_d    nc630 PD       0:00      1 (Priority)
  56371773_[12-60]    ampere PubMedNC   lb2027 PD       0:00      1 (Priority)
          56267266    ampere dash_6_d co-paul2 PD       0:00      1 (Dependency)
          56267265    ampere dash_6_d co-paul2 PD       0:00      1 (Dependency)
          56267259    ampere dash_4_d co-paul2 PD       0:00      1 (Dependency)
          56267087    ampere dash_6_d co-paul2 PD       0:00      1 (Dependency)
          56267065    ampere dash_4_d co-paul2 PD       0:00      1 (Dependency)
          56158318    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158317    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158316    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158315    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158314    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158313    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158311    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158310    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158309    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158308    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56158307    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157687    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157686    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157682    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157681    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157680    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157679    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157678    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157677    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157676    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157675    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157674    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157673    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157672    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56157671    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156928    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156925    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156924    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156923    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156922    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156921    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156920    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156919    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156918    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156917    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156916    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156915    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156914    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156913    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156909    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156908    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156907    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156906    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156905    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156904    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
